,제목,분류
239,"['일반적으로 입점 업체의 품절 상품 재입고 여부 및 일정은 무신사 스토어에서는 정확히 알기 어렵습니다. 재입고 여부는 상품 상세 페이지의 상품문의 게시판을 통하여 문의하시는 것이 가장 정확합니다. 재입고 알림을\xa0등록하시면 재입고 알림 문자를 받아보실 수 있습니다.', '판매 가격의 변동에 따른 차액을 보상해드리지 않습니다.', '온라인의 특성상 상품 이미지는 출력되는 모니터 환경에 따라 조금씩 차이가 있을 수 있으며 이는 판매자 사유에 의한 교환 및 환불 대상이 아닙니다.', '모든 제품은 브랜드 본사 혹은 정식 수입업체나 정품 병행수입 업체를 통해 정식 계약을 맺고 판매되므로 믿고 구입하셔도 됩니다.\xa0\n위와 같은 확인 절차에도 불구하고 구매하신 상품이 가품으로 판명될 경우 해당 상품\xa0구매\xa0가격의 100%를 보상해드립니다.\n일부 브랜드의 경우 본사에서 제공하는 보증서가 동봉됩니다.', '정식 수입 상품은 브랜드 본사와 계약하여 한국 판매를 목적으로 공식 수입원이 수입한 상품으로 A/S 등의 책임을 한국 본사가 가지는 것이 특징이며 병행수입 상품의 경우 한국 외 국가 판매 상품을 상대적으로 낮은 가격으로 수입하여 판매하는 것으로 A/S 등이 대부분 불가합니다.', '무신사 스페셜숍에서는 무신사 단독 판매 상품이나 브랜드 최상위 라인의 특별한 제품  기간 한정의 예약상품을 소개하기에 다른 곳에서는 만나기 힘든 제품들이 대부분입니다. 단  일부 상품의 경우 브랜드의 정책에 따라 한정판 상품이라도 판매 수량이 추가될 수 있으며 판매 기간이 연장될 수 있습니다. ※ 기간 한정 예약 상품은 취소 및 교환이 불가합니다.', '문의하고자 하는 상품의 상세 페이지 접속 후 하단의 상품 문의 목록에서 작성할 수 있습니다.\xa0\n재입고  사이즈  배송 등 상품과 관련된 문의 사항을 남겨주시면\xa0브랜드 담당자가 직접 답변드립니다. 상품과 관련 없는 욕설  비방  회원 간 거래 글  명예훼손  타 쇼핑몰 언급  허위사실 유포  광고성 등의 문의는 숨김 처리됩니다.\n주문번호  연락처  계좌번호 등의 개인 정보 관련 내용은\xa0노출이 되지 않도록 비밀글로 문의해 주시기 바랍니다. 공개 글은 비밀글로 전환될 수 있으며  개인 정보 노출로 인한 피해는 무신사 스토어가 책임지지 않습니다.', '무신사는 입점 업체의 디자인 도용 또는 라벨 교체 상품 판매를 용인하지 않습니다. 해당 사례 발생 시 다음과 같이 처리합니다.\n\n1. 제보 접수\n- 무신사 커뮤니티 게시판이나 입점 업체  내부 조사를 통해 문제를 파악합니다.\n\n2. 사실 관계 확인\n- 관련 업체에 사실 확인을 요청합니다. 업체의 디자인 도용 또는 라벨 교체 상품 인정 시  다음 단계를 진행합니다.\n- 디자인 도용  라벨 교체 상품이 아님을 주장할 경우  무신사는 소명 자료를 요구하고 이를 토대로 무신사 내/외부 검증을 거쳐 진위 여부를 가립니다.\n\n3. 해당 상품 판매 중지\n- 업체의 인정 또는 소명 자료가 충분치 않을 경우  해당 상품은 즉시 판매 중지합니다.\n\n4. 처리결과 및 업체 입장 공지\n- 판매 중지와 함께 사안에 대한 경위 및 처리결과를 무신사 스토어 공지 게시판에 게재합니다. 또한 업체에게 커뮤니티를 통해 직접 입장을 게재하도록 권고합니다.\n\n5. 무신사 기준에 따라 최고 퇴점 조치\n- 반복적이거나 광범위하게 디자인 도용 또는 라벨 교체 상품이 발생하는 업체는 퇴점 처리합니다.\n\n무신사에서 판매되는 모든 상품을 신뢰하실 수 있도록 최선을 다하겠습니다.']",상품관련
240,"['일반적으로 입점 업체의 품절 상품 재입고 여부 및 일정은 무신사 스토어에서는 정확히 알기 어렵습니다. 재입고 여부는 상품 상세 페이지의 상품문의 게시판을 통하여 문의하시는 것이 가장 정확합니다. 재입고 알림을\xa0등록하시면 재입고 알림 문자를 받아보실 수 있습니다.', '판매 가격의 변동에 따른 차액을 보상해드리지 않습니다.', '온라인의 특성상 상품 이미지는 출력되는 모니터 환경에 따라 조금씩 차이가 있을 수 있으며 이는 판매자 사유에 의한 교환 및 환불 대상이 아닙니다.', '모든 제품은 브랜드 본사 혹은 정식 수입업체나 정품 병행수입 업체를 통해 정식 계약을 맺고 판매되므로 믿고 구입하셔도 됩니다.\xa0\n위와 같은 확인 절차에도 불구하고 구매하신 상품이 가품으로 판명될 경우 해당 상품\xa0구매\xa0가격의 100%를 보상해드립니다.\n일부 브랜드의 경우 본사에서 제공하는 보증서가 동봉됩니다.', '정식 수입 상품은 브랜드 본사와 계약하여 한국 판매를 목적으로 공식 수입원이 수입한 상품으로 A/S 등의 책임을 한국 본사가 가지는 것이 특징이며 병행수입 상품의 경우 한국 외 국가 판매 상품을 상대적으로 낮은 가격으로 수입하여 판매하는 것으로 A/S 등이 대부분 불가합니다.', '무신사 스페셜숍에서는 무신사 단독 판매 상품이나 브랜드 최상위 라인의 특별한 제품  기간 한정의 예약상품을 소개하기에 다른 곳에서는 만나기 힘든 제품들이 대부분입니다. 단  일부 상품의 경우 브랜드의 정책에 따라 한정판 상품이라도 판매 수량이 추가될 수 있으며 판매 기간이 연장될 수 있습니다. ※ 기간 한정 예약 상품은 취소 및 교환이 불가합니다.', '문의하고자 하는 상품의 상세 페이지 접속 후 하단의 상품 문의 목록에서 작성할 수 있습니다.\xa0\n재입고  사이즈  배송 등 상품과 관련된 문의 사항을 남겨주시면\xa0브랜드 담당자가 직접 답변드립니다. 상품과 관련 없는 욕설  비방  회원 간 거래 글  명예훼손  타 쇼핑몰 언급  허위사실 유포  광고성 등의 문의는 숨김 처리됩니다.\n주문번호  연락처  계좌번호 등의 개인 정보 관련 내용은\xa0노출이 되지 않도록 비밀글로 문의해 주시기 바랍니다. 공개 글은 비밀글로 전환될 수 있으며  개인 정보 노출로 인한 피해는 무신사 스토어가 책임지지 않습니다.', '무신사는 입점 업체의 디자인 도용 또는 라벨 교체 상품 판매를 용인하지 않습니다. 해당 사례 발생 시 다음과 같이 처리합니다.\n\n1. 제보 접수\n- 무신사 커뮤니티 게시판이나 입점 업체  내부 조사를 통해 문제를 파악합니다.\n\n2. 사실 관계 확인\n- 관련 업체에 사실 확인을 요청합니다. 업체의 디자인 도용 또는 라벨 교체 상품 인정 시  다음 단계를 진행합니다.\n- 디자인 도용  라벨 교체 상품이 아님을 주장할 경우  무신사는 소명 자료를 요구하고 이를 토대로 무신사 내/외부 검증을 거쳐 진위 여부를 가립니다.\n\n3. 해당 상품 판매 중지\n- 업체의 인정 또는 소명 자료가 충분치 않을 경우  해당 상품은 즉시 판매 중지합니다.\n\n4. 처리결과 및 업체 입장 공지\n- 판매 중지와 함께 사안에 대한 경위 및 처리결과를 무신사 스토어 공지 게시판에 게재합니다. 또한 업체에게 커뮤니티를 통해 직접 입장을 게재하도록 권고합니다.\n\n5. 무신사 기준에 따라 최고 퇴점 조치\n- 반복적이거나 광범위하게 디자인 도용 또는 라벨 교체 상품이 발생하는 업체는 퇴점 처리합니다.\n\n무신사에서 판매되는 모든 상품을 신뢰하실 수 있도록 최선을 다하겠습니다.']",상품관련
241,"['일반적으로 입점 업체의 품절 상품 재입고 여부 및 일정은 무신사 스토어에서는 정확히 알기 어렵습니다. 재입고 여부는 상품 상세 페이지의 상품문의 게시판을 통하여 문의하시는 것이 가장 정확합니다. 재입고 알림을\xa0등록하시면 재입고 알림 문자를 받아보실 수 있습니다.', '판매 가격의 변동에 따른 차액을 보상해드리지 않습니다.', '온라인의 특성상 상품 이미지는 출력되는 모니터 환경에 따라 조금씩 차이가 있을 수 있으며 이는 판매자 사유에 의한 교환 및 환불 대상이 아닙니다.', '모든 제품은 브랜드 본사 혹은 정식 수입업체나 정품 병행수입 업체를 통해 정식 계약을 맺고 판매되므로 믿고 구입하셔도 됩니다.\xa0\n위와 같은 확인 절차에도 불구하고 구매하신 상품이 가품으로 판명될 경우 해당 상품\xa0구매\xa0가격의 100%를 보상해드립니다.\n일부 브랜드의 경우 본사에서 제공하는 보증서가 동봉됩니다.', '정식 수입 상품은 브랜드 본사와 계약하여 한국 판매를 목적으로 공식 수입원이 수입한 상품으로 A/S 등의 책임을 한국 본사가 가지는 것이 특징이며 병행수입 상품의 경우 한국 외 국가 판매 상품을 상대적으로 낮은 가격으로 수입하여 판매하는 것으로 A/S 등이 대부분 불가합니다.', '무신사 스페셜숍에서는 무신사 단독 판매 상품이나 브랜드 최상위 라인의 특별한 제품  기간 한정의 예약상품을 소개하기에 다른 곳에서는 만나기 힘든 제품들이 대부분입니다. 단  일부 상품의 경우 브랜드의 정책에 따라 한정판 상품이라도 판매 수량이 추가될 수 있으며 판매 기간이 연장될 수 있습니다. ※ 기간 한정 예약 상품은 취소 및 교환이 불가합니다.', '문의하고자 하는 상품의 상세 페이지 접속 후 하단의 상품 문의 목록에서 작성할 수 있습니다.\xa0\n재입고  사이즈  배송 등 상품과 관련된 문의 사항을 남겨주시면\xa0브랜드 담당자가 직접 답변드립니다. 상품과 관련 없는 욕설  비방  회원 간 거래 글  명예훼손  타 쇼핑몰 언급  허위사실 유포  광고성 등의 문의는 숨김 처리됩니다.\n주문번호  연락처  계좌번호 등의 개인 정보 관련 내용은\xa0노출이 되지 않도록 비밀글로 문의해 주시기 바랍니다. 공개 글은 비밀글로 전환될 수 있으며  개인 정보 노출로 인한 피해는 무신사 스토어가 책임지지 않습니다.', '무신사는 입점 업체의 디자인 도용 또는 라벨 교체 상품 판매를 용인하지 않습니다. 해당 사례 발생 시 다음과 같이 처리합니다.\n\n1. 제보 접수\n- 무신사 커뮤니티 게시판이나 입점 업체  내부 조사를 통해 문제를 파악합니다.\n\n2. 사실 관계 확인\n- 관련 업체에 사실 확인을 요청합니다. 업체의 디자인 도용 또는 라벨 교체 상품 인정 시  다음 단계를 진행합니다.\n- 디자인 도용  라벨 교체 상품이 아님을 주장할 경우  무신사는 소명 자료를 요구하고 이를 토대로 무신사 내/외부 검증을 거쳐 진위 여부를 가립니다.\n\n3. 해당 상품 판매 중지\n- 업체의 인정 또는 소명 자료가 충분치 않을 경우  해당 상품은 즉시 판매 중지합니다.\n\n4. 처리결과 및 업체 입장 공지\n- 판매 중지와 함께 사안에 대한 경위 및 처리결과를 무신사 스토어 공지 게시판에 게재합니다. 또한 업체에게 커뮤니티를 통해 직접 입장을 게재하도록 권고합니다.\n\n5. 무신사 기준에 따라 최고 퇴점 조치\n- 반복적이거나 광범위하게 디자인 도용 또는 라벨 교체 상품이 발생하는 업체는 퇴점 처리합니다.\n\n무신사에서 판매되는 모든 상품을 신뢰하실 수 있도록 최선을 다하겠습니다.']",상품관련
242,복합결제가 가능한가요?,주문
243,인터넷 안전 결제(ISP) 가 무엇입니까?,주문
244,안심클릭은 무엇인가요?,주문
245,I혜택I 회원 등급에 따라 어떤 혜택을 받을 수 있나요?,주문
246,가상계좌 주문이 제한 되었어요.,주문
247,휴대폰 소액결제에 대하여 알려주세요.,주문
248,주문 결제 시 현금영수증 요청을 하지 않았습니다. 따로 신청  가능한가요?,주문
249,[TOSS] 현금영수증 발급은 어떻게 하나요?,주문
250,[TOSS] 등록한 계좌에 잔액이 있는데 이체가 안돼요.,주문
251,[TOSS] 토스 결제는 어떻게 진행되나요?,주문
252,[TOSS] 결제 한도가 어떻게 되나요?,주문
253,가상계좌 입금 시 주문자와 입금자명이 동일해야 하나요?,주문
254,가상계좌는 어떻게 입금해야 하나요?,주문
255,가상계좌로 주문을 나눠서 했는데 한번에 입금할 수 있나요?,주문
256,주소 검색이 안돼요.,주문
257,주소지 건물명이 변경되었어요.,주문
258,주문 시 선택한 사은품을 확인할 수 있나요?,주문
259,해외 카드로 결제 가능한가요?,주문
260,카드 및 현금 영수증  거래 명세서는 어디에서 조회할 수 있나요?,주문
261,교환(환불) 신청 시 꼭 반품 배송비를 결제해야 하나요?,주문
262,[카카오페이] 현금영수증 발행 번호를 변경하고 싶어요.,주문
263,[카카오페이] 현금영수증 발행 여부를 알고 싶어요.,주문
264,[카카오페이] 현금영수증 발행 신청은 어떻게 하나요?,주문
265,결제 방법을 변경하고 싶어요.,주문
266,[무신사페이] 무신사페이가 무엇인가요?,주문
267,[무신사페이] 무신사페이는 어디에서 등록하나요?,주문
268,[무신사페이] 카드 입력 정보 중 CVC는 무엇을 적어야 하나요?,주문
269,[무신사페이] 카드를 여러 개 등록했을 때 우선 사용 카드를 설정할 수 있나요?,주문
270,[무신사페이] 카드는 몇 개까지 등록할 수 있나요?,주문
271,[무신사페이] 결제 비밀번호를 잊어버렸어요.,주문
272,[무신사페이] 무신사페이 이용 해지는 어떻게 하나요?,주문
273,[무신사페이] 카드 등록 시 지원되지 않는 결제 수단이라고 뜹니다.,주문
274,[무신사페이] 등록한 카드를 분실했어요. 무신사페이를 계속 사용할 수 있나요?,주문
275,결제 증빙 서류(거래명세서  카드전표 등)는 어떻게 확인할 수 있나요?,주문
276,"['복합결제는 현재 지원하지 않습니다. 구매를 희망하시는 고객님들께서는 한 가지의 결제수단을 이용해 주시기 바랍니다.', '인터넷 안전 결제(ISP)는 BC/국민/우리/신한카드사에서 의무적으로 시행하는 것으로  BC/국민/우리/신한카드로 결제할 때 카드번호를 직접 입력하지 않고 카드사에서 발급하는 가상의 인터넷안전결제(ISP) 비밀번호만으로 안전한 전자상거래를 할 수 있는 서비스입니다.', '① 결제수단 선택에서 BC/국민/우리/신한카드(안전결제) 선택\n② 자동으로 뜨는 플러그인 창에서 ISP인증번호 입력 : 사전에 ISP 서비스 등록이 되어 있지 않는 경우  플러그인 창에서 카드번호와 이메일 입력을 통해 바로 ISP서비스를 등록 가능합니다. (해당 카드사 홈페이지에서도 등록 가능함)\n③ 30만원 이상 결제 시 추가로 공인인증번호 입력 : 1회 결제금액이 30만원 이상인 경우는 인터넷뱅킹에 사용하시는 공인인증번호를 입력하셔야 합니다. 2) 공인인증서가 없으신 분은 신분증을 지참해 거래 은행에 방문하셔서 신청을 하시고  해당 은행의 홈페이지에서 공인인증서를 다운로드 받아 설치하시면 됩니다.', '[참고사항]\n거래금액이 30만원 이상일 때는 공인인증 과정이 필수입니다.', '인터넷 쇼핑 시 고객님이 소유하신 카드에 미리 설정해 둔 전자상거래용의 별도 비밀번호를 입력하여 카드사용자 본인을 확인함으로써 온라인 상에서의 카드 무단도용을 방지해주는 서비스입니다.[참고사항]- 시행일시 : 2004년 4월 1일부터 정부 시책에 따라 의무 시행- 대상카드: 삼성/외환/신한/현대/롯데/하나/씨티 등- 인증방식: 카드사가 제공하는 팝업창 에서 선택 가능① 30만원 미만: 안심클릭 또는 공인인증② 30만원 이상: 공인인증안심클릭 등록방법: 고객님이 소유한 신용카드의 카드사 홈페이지 통해 등록 가능', '회원 혜택에 대해 안내드립니다.\xa0\n\n■ 회원 가입 시 기본 혜택\n- 10% 생일 쿠폰 지급\n- 전 상품 무료 배송\n- 적립금 선할인\xa0\n- 후기 작성 시 적립금 지급\n\n■ 회원 등급별 차등 혜택\n- 할인 쿠폰  테라스 쿠폰 매월 제공\n- 등급별 추가 할인 및 적립금 추가 적립', '가상계좌 주문 후 반복적인 주문취소 시  가상계좌 주문이 제한됩니다. 다른 결제수단을 이용하시거나 익일 제한이 해제되었을 경우 주문 가능 합니다.', '휴대폰 소액결제는 결제 대금을 휴대폰으로 결제하는 방법으로 결제 시 구매금액의 5%의 수수료가 발생합니다. 결제 대금은 다음 달 휴대폰 요금에 부과되어 청구됩니다. 환불 시 결제 수수료를 포함하여 환불됩니다.\n[주의사항]\n- 50만원 이상 결제 시 휴대폰 소액결제 서비스가 차단됩니다.\n- 휴대폰 결제의 환불 시  부분 환불 또는 결제 월이 지난 경우 계좌로 환불됩니다.', '주문 결제 후 현금영수증 요청은 고객센터로 문의 부탁드립니다. 발행이 가능한 기간은 결제월 기준 익월 15일 이내입니다.', '1. 결제 비밀번호 입력 전 설정으로 들어갑니다.\n\n2. 결제 설정에서 현금영수증 발급 설정을 누릅니다.\n\n3. 발급 종류 및 증빙 방법 선택 후  개인정보 제공 동의를 체크하여 확인을 누릅니다. 이 후 결제 비밀번호를 입력하여 결제를 진행하면 발급이 완료 됩니다.\n', ""성인회원의 경우 - 일 200만원\n미성년자 회원의 경우 - 일 30만원  월 100만원까지 결제 가능합니다.\n2000년도 출생자의 경우 생일이 지난 다음달 1일에 '일반 회원'의 한도로 변경됩니다. (2019년 기준)\n위 한도는 표준 한도이며  고객별 판매 품목이나 Risk등급에 따라 결제 가능 한도를 제한할 수 있습니다."", '가상계좌는 고객님께만 발급되는 일회성 계좌번호 입니다. 따라서 주문자와 입금자명이 다르더라도 입금이 가능합니다.\n단  결제 금액의 1원 단위까지 정확히 맞춰야 입금 가능합니다.', '주문 후 발급된 계좌정보로 입금자 명과 상관없이 결제 금액의 1원 단위까지 맞춰야 입금 가능합니다.\n인터넷 뱅킹  폰 뱅킹  계좌이체  ATM기기  은행 창구를 통해 입금할 수 있습니다.\nATM기기를 이용하시는 경우\xa0100원 단위 입금이 불가하므로 통장 및 체크카드로 계좌이체 하셔야 합니다. 단  사용하는 통장 및 체크카드가 ATM기기 이용 등록이 되어 있어야 하오니  사용 전 기기 등록 여부를 확인하여 주시기 바랍니다.\n은행에 방문하여 무통장 입금을 하실 경우 \xa0영업점을 방문하여 입금 요청서를 작성한 후 현금과 함께 은행원에게 접수하시면 결제금액의 차액은 거슬러 받거나 통장으로 입금 받을 수 있습니다.\n타 은행을 통한 입금 시에는 입금 수수료가 발생되는 점 참고 부탁 드립니다.', '주문번호마다 입금계좌가 다르므로 한번에 입금이 불가합니다. 번거로우시더라도 각각 입금해주셔야 합니다.', '주소지는 행정안전부의 [도로명 조회 사이트]에서 검색되는 주소를 기반으로 합니다.\n띄어쓰기  오타 여부 및 검색을 통해 실제 존재하는 주소인지 확인 부탁드립니다.\n주소가 등록되어 있지 않다면 [도로명주소 도움센터]에 등록 요청을 해주시기 바랍니다.\n단  도로명은 건물에 부여되는 주소이므로 건물이 있지 않은 장소는 도로명 주소로 등록되지 않습니다.\n도로명 조회 사이트에 등록되어 있으나 배송지 검색이 안될 경우 1:1문의글로 주소지와 함께 요청해주시기 바랍니다.\n도로명 주소가 있지 않은 주소지는 등록이 불가능합니다.', '주소지는 행정안전부의 [도로명 조회 사이트]에서 검색되는 주소를 기반으로 합니다.\xa0\n검색 시 건물명이 변경되어 있지 않은 경우 [도로명주소 도움센터]에 변경 요청을 해주시기 바랍니다.\n도로명 조회 사이트에 등록되어 있으나 건물명이 검색되지 않을 경우 1:1문의글로 주소지와 함께 요청해주시기 바랍니다.', '[마이페이지 → 주문내역 조회]에서 선택하신 사은품이 해당 상품의 상품 정보에서 표시됩니다.\n주문 상세 내역에서는 상품 정보 및 사은품 정보에서 확인 가능합니다.']",주문
277,"['복합결제는 현재 지원하지 않습니다. 구매를 희망하시는 고객님들께서는 한 가지의 결제수단을 이용해 주시기 바랍니다.', '인터넷 안전 결제(ISP)는 BC/국민/우리/신한카드사에서 의무적으로 시행하는 것으로  BC/국민/우리/신한카드로 결제할 때 카드번호를 직접 입력하지 않고 카드사에서 발급하는 가상의 인터넷안전결제(ISP) 비밀번호만으로 안전한 전자상거래를 할 수 있는 서비스입니다.', '① 결제수단 선택에서 BC/국민/우리/신한카드(안전결제) 선택\n② 자동으로 뜨는 플러그인 창에서 ISP인증번호 입력 : 사전에 ISP 서비스 등록이 되어 있지 않는 경우  플러그인 창에서 카드번호와 이메일 입력을 통해 바로 ISP서비스를 등록 가능합니다. (해당 카드사 홈페이지에서도 등록 가능함)\n③ 30만원 이상 결제 시 추가로 공인인증번호 입력 : 1회 결제금액이 30만원 이상인 경우는 인터넷뱅킹에 사용하시는 공인인증번호를 입력하셔야 합니다. 2) 공인인증서가 없으신 분은 신분증을 지참해 거래 은행에 방문하셔서 신청을 하시고  해당 은행의 홈페이지에서 공인인증서를 다운로드 받아 설치하시면 됩니다.', '[참고사항]\n거래금액이 30만원 이상일 때는 공인인증 과정이 필수입니다.', '인터넷 쇼핑 시 고객님이 소유하신 카드에 미리 설정해 둔 전자상거래용의 별도 비밀번호를 입력하여 카드사용자 본인을 확인함으로써 온라인 상에서의 카드 무단도용을 방지해주는 서비스입니다.[참고사항]- 시행일시 : 2004년 4월 1일부터 정부 시책에 따라 의무 시행- 대상카드: 삼성/외환/신한/현대/롯데/하나/씨티 등- 인증방식: 카드사가 제공하는 팝업창 에서 선택 가능① 30만원 미만: 안심클릭 또는 공인인증② 30만원 이상: 공인인증안심클릭 등록방법: 고객님이 소유한 신용카드의 카드사 홈페이지 통해 등록 가능', '회원 혜택에 대해 안내드립니다.\xa0\n\n■ 회원 가입 시 기본 혜택\n- 10% 생일 쿠폰 지급\n- 전 상품 무료 배송\n- 적립금 선할인\xa0\n- 후기 작성 시 적립금 지급\n\n■ 회원 등급별 차등 혜택\n- 할인 쿠폰  테라스 쿠폰 매월 제공\n- 등급별 추가 할인 및 적립금 추가 적립', '가상계좌 주문 후 반복적인 주문취소 시  가상계좌 주문이 제한됩니다. 다른 결제수단을 이용하시거나 익일 제한이 해제되었을 경우 주문 가능 합니다.', '휴대폰 소액결제는 결제 대금을 휴대폰으로 결제하는 방법으로 결제 시 구매금액의 5%의 수수료가 발생합니다. 결제 대금은 다음 달 휴대폰 요금에 부과되어 청구됩니다. 환불 시 결제 수수료를 포함하여 환불됩니다.\n[주의사항]\n- 50만원 이상 결제 시 휴대폰 소액결제 서비스가 차단됩니다.\n- 휴대폰 결제의 환불 시  부분 환불 또는 결제 월이 지난 경우 계좌로 환불됩니다.', '주문 결제 후 현금영수증 요청은 고객센터로 문의 부탁드립니다. 발행이 가능한 기간은 결제월 기준 익월 15일 이내입니다.', '1. 결제 비밀번호 입력 전 설정으로 들어갑니다.\n\n2. 결제 설정에서 현금영수증 발급 설정을 누릅니다.\n\n3. 발급 종류 및 증빙 방법 선택 후  개인정보 제공 동의를 체크하여 확인을 누릅니다. 이 후 결제 비밀번호를 입력하여 결제를 진행하면 발급이 완료 됩니다.\n', ""성인회원의 경우 - 일 200만원\n미성년자 회원의 경우 - 일 30만원  월 100만원까지 결제 가능합니다.\n2000년도 출생자의 경우 생일이 지난 다음달 1일에 '일반 회원'의 한도로 변경됩니다. (2019년 기준)\n위 한도는 표준 한도이며  고객별 판매 품목이나 Risk등급에 따라 결제 가능 한도를 제한할 수 있습니다."", '가상계좌는 고객님께만 발급되는 일회성 계좌번호 입니다. 따라서 주문자와 입금자명이 다르더라도 입금이 가능합니다.\n단  결제 금액의 1원 단위까지 정확히 맞춰야 입금 가능합니다.', '주문 후 발급된 계좌정보로 입금자 명과 상관없이 결제 금액의 1원 단위까지 맞춰야 입금 가능합니다.\n인터넷 뱅킹  폰 뱅킹  계좌이체  ATM기기  은행 창구를 통해 입금할 수 있습니다.\nATM기기를 이용하시는 경우\xa0100원 단위 입금이 불가하므로 통장 및 체크카드로 계좌이체 하셔야 합니다. 단  사용하는 통장 및 체크카드가 ATM기기 이용 등록이 되어 있어야 하오니  사용 전 기기 등록 여부를 확인하여 주시기 바랍니다.\n은행에 방문하여 무통장 입금을 하실 경우 \xa0영업점을 방문하여 입금 요청서를 작성한 후 현금과 함께 은행원에게 접수하시면 결제금액의 차액은 거슬러 받거나 통장으로 입금 받을 수 있습니다.\n타 은행을 통한 입금 시에는 입금 수수료가 발생되는 점 참고 부탁 드립니다.', '주문번호마다 입금계좌가 다르므로 한번에 입금이 불가합니다. 번거로우시더라도 각각 입금해주셔야 합니다.', '주소지는 행정안전부의 [도로명 조회 사이트]에서 검색되는 주소를 기반으로 합니다.\n띄어쓰기  오타 여부 및 검색을 통해 실제 존재하는 주소인지 확인 부탁드립니다.\n주소가 등록되어 있지 않다면 [도로명주소 도움센터]에 등록 요청을 해주시기 바랍니다.\n단  도로명은 건물에 부여되는 주소이므로 건물이 있지 않은 장소는 도로명 주소로 등록되지 않습니다.\n도로명 조회 사이트에 등록되어 있으나 배송지 검색이 안될 경우 1:1문의글로 주소지와 함께 요청해주시기 바랍니다.\n도로명 주소가 있지 않은 주소지는 등록이 불가능합니다.', '주소지는 행정안전부의 [도로명 조회 사이트]에서 검색되는 주소를 기반으로 합니다.\xa0\n검색 시 건물명이 변경되어 있지 않은 경우 [도로명주소 도움센터]에 변경 요청을 해주시기 바랍니다.\n도로명 조회 사이트에 등록되어 있으나 건물명이 검색되지 않을 경우 1:1문의글로 주소지와 함께 요청해주시기 바랍니다.', '[마이페이지 → 주문내역 조회]에서 선택하신 사은품이 해당 상품의 상품 정보에서 표시됩니다.\n주문 상세 내역에서는 상품 정보 및 사은품 정보에서 확인 가능합니다.']",주문
